,tracklet_duration,set_id,video_1,video_2
46,39.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
47,5811.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
48,455.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
49,4341.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
50,487.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
51,33.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
52,91.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
53,391.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
54,565.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
55,128.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
56,755.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
57,308.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
58,1391.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
59,326.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
60,1313.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
61,189.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
0,221.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
1,163.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
2,1960.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
3,29.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
4,377.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
5,3757.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
6,280.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
7,69.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
8,17.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
9,480.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
10,2502.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
11,1270.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
12,138.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
13,188.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
14,1112.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
15,918.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
16,154.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
17,1027.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
18,194.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
19,77.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
20,281.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
21,183.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
22,352.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
23,157.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
24,203.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
25,253.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
26,532.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
27,17.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
28,65.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
29,93.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
30,13.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
31,171.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
32,102.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
33,454.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
34,386.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
35,,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
36,88.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
37,144.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
38,914.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
39,5793.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
40,1092.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
41,159.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
42,3746.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
43,214.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
44,125.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
45,5793.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
46,152.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
47,24.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
48,64.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
49,26.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
50,2035.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
51,387.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
52,18.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
53,2110.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
